ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2962,iyAndClar1,sourmash_db_filter_kmers_50,31,13,1244,23,0.7045454545454546,0.02431372549019608,0.041189931350114416,0.04700530705079606,1275,36,691,23,18
RC-2962,iyAndClar1,sourmash_db_filter_kmers_100,18,9,1257,27,0.6666666666666666,0.01411764705882353,0.034324942791762014,0.027649769585253454,1275,36,691,23,17
RC-3033,qqTetUrti3,fcs,198,6,0,228,0.9705882352941176,1.0,0.9861111111111112,0.9850746268656716,198,234,-,10,10
RC-3033,qqTetUrti3,tiara,198,234,0,0,0.4583333333333333,1.0,0.4583333333333333,0.6285714285714286,198,234,-,10,10
RC-3033,qqTetUrti3,fcs+tiara,198,6,0,228,0.9705882352941176,1.0,0.9861111111111112,0.9850746268656716,198,234,-,10,10
RC-3033,qqTetUrti3,sourmash_without_filters,198,103,0,131,0.6578073089700996,1.0,0.7615740740740741,0.7935871743486973,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_published_assembly,198,103,0,131,0.6578073089700996,1.0,0.7615740740740741,0.7935871743486973,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_topN_3,130,4,68,230,0.9701492537313433,0.6565656565656566,0.8333333333333334,0.7831325301204819,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_topN_10,196,4,2,230,0.98,0.98989898989899,0.9861111111111112,0.9849246231155778,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_topN_50,196,4,2,230,0.98,0.98989898989899,0.9861111111111112,0.9849246231155778,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_topN_100,196,4,2,230,0.98,0.98989898989899,0.9861111111111112,0.9849246231155778,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_containment_0%,196,8,2,226,0.9607843137254902,0.98989898989899,0.9768518518518519,0.9751243781094527,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_containment_1%,196,8,2,226,0.9607843137254902,0.98989898989899,0.9768518518518519,0.9751243781094527,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_containment_10%,194,3,4,231,0.9847715736040609,0.9797979797979798,0.9837962962962963,0.9822784810126582,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_containment_20%,189,1,9,233,0.9947368421052631,0.9545454545454546,0.9768518518518519,0.9742268041237114,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_kmers_2,196,3,2,231,0.9849246231155779,0.98989898989899,0.9884259259259259,0.9874055415617129,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_kmers_10,192,1,6,233,0.9948186528497409,0.9696969696969697,0.9837962962962963,0.9820971867007673,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_kmers_50,74,0,124,234,1.0,0.37373737373737376,0.7129629629629629,0.5441176470588236,198,234,97,10,10
RC-3033,qqTetUrti3,sourmash_db_filter_kmers_100,38,0,160,234,1.0,0.1919191919191919,0.6296296296296297,0.3220338983050848,198,234,97,10,10
